IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,12,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,11,,,,,,
True,1000,180.3mb,42500,diário,9,,,,,,
True,1000,180.3mb,42500,diário,9,,,,,,
True,1000,180.3mb,42500,diário,13,,,,,,
True,1000,180.3mb,42500,diário,13,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,diário,8,,,,,,
True,1000,180.3mb,42500,diário,9,,,,,,
True,1000,180.3mb,42500,diário,10,,,,,,
True,1000,180.3mb,42500,lei,33,,,,,,
True,1000,180.3mb,42500,lei,15,,,,,,
True,1000,180.3mb,42500,lei,11,,,,,,
True,1000,180.3mb,42500,lei,14,,,,,,
True,1000,180.3mb,42500,lei,11,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,12,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,12,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,14,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,13,,,,,,
True,1000,180.3mb,42500,lei,16,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,4,,,,,,
True,1000,180.3mb,42500,lei,4,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,4,,,,,,
True,1000,180.3mb,42500,lei,8,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,8,,,,,,
True,1000,180.3mb,42500,lei,11,,,,,,
True,1000,180.3mb,42500,lei,8,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,6,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,5,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,7,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,14,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,11,,,,,,
True,1000,180.3mb,42500,lei,14,,,,,,
True,1000,180.3mb,42500,lei,39,,,,,,
True,1000,180.3mb,42500,lei,14,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,12,,,,,,
True,1000,180.3mb,42500,lei,10,,,,,,
True,1000,180.3mb,42500,lei,15,,,,,,
True,1000,180.3mb,42500,lei,9,,,,,,
True,1000,180.3mb,42500,lei,8,,,,,,
True,1000,180.3mb,42500,termo,35,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,11,,,,,,
True,1000,180.3mb,42500,termo,13,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,11,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,10,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,11,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,10,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,10,,,,,,
True,1000,180.3mb,42500,termo,10,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,9,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,7,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,6,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,4,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,5,,,,,,
True,1000,180.3mb,42500,termo,8,,,,,,
True,1000,180.3mb,42500,decreto,18,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,7,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,6,,,,,,
True,1000,180.3mb,42500,decreto,5,,,,,,
True,1000,180.3mb,42500,decreto,4,,,,,,
